date,reply count,sentiment type,sentiment score,change_percent2,volume2
2022-06-16,1516,neutral,0.6611898,-3.25,4511200000
2022-07-07,15356,neutral,0.8095723,1.5,3337710000
2022-07-11,2267,neutral,0.5927241,-1.15,3023830000
2022-07-15,351,neutral,0.6454428,1.92,3537130000
2022-07-19,5333,neutral,0.74751353,2.76,3160350000
2022-07-22,485,neutral,0.61932087,-0.93,3246220000
2022-07-26,8064,neutral,0.5369085,-1.15,3083420000
2022-07-27,368,neutral,0.6102736,2.62,3584170000
2022-07-29,2233,neutral,0.7585678,1.42,3817740000
2022-08-01,10607,neutral,0.74790126,-0.28,3540960000
2022-08-04,1155,neutral,0.4617078,-0.08,3565810000
2022-08-09,1572,neutral,0.68797845,-0.42,3337150000
2022-08-10,3025,neutral,0.76821935,2.13,3998590000
2022-08-11,402,neutral,0.7147504,-0.07,3925060000
2022-08-19,470,neutral,0.78303385,-1.29,3210680000
2022-08-25,965,neutral,0.9015294,1.41,2976050000
2022-08-29,2336,neutral,0.6675774,-0.67,2963020000
2022-08-30,1071,neutral,0.76404417,-1.1,3190580000
2022-09-06,7150,neutral,0.7558146,-0.41,2209800080
2022-09-08,705,neutral,0.4994938,0.66,3966850000
2022-09-09,1376,neutral,0.53506243,1.53,3901940000
2022-09-12,2750,neutral,0.825865,1.06,3814200000
2022-09-13,392,neutral,0.6075675,-4.32,4224550000
2022-09-15,1268,neutral,0.88502705,-1.13,4441830000
2022-09-20,515,neutral,0.53333485,-1.13,4058050000
2022-09-21,599,neutral,0.8178303,-1.71,4078330000
2022-09-22,529,neutral,0.8417599,-0.84,4284600000
2022-09-28,367,neutral,0.51945746,1.97,4684850000
2022-10-03,4808,neutral,0.83482224,2.59,4806680000
2022-10-06,1432,neutral,0.53509223,-1.02,4252100000
2022-10-07,5484,neutral,0.7547754,-2.8,4449660000
2022-10-11,493,neutral,0.6622736,-0.65,4759030000
2022-10-13,1084,neutral,0.7661315,2.6,5021680000
2022-10-17,564,neutral,0.54956836,2.65,4352780000
2022-10-18,363,neutral,0.5504137,1.14,4483740000
2022-10-21,488,neutral,0.9044686,2.37,5078020000
2022-10-24,1279,neutral,0.69136447,1.19,4747930000
2022-11-02,557,neutral,0.77118474,-2.5,4899000000
2022-11-07,282,neutral,0.61357045,0.96,4341620000
2022-11-14,3772,neutral,0.89347917,-0.89,4561930000
2022-11-16,887,neutral,0.8260784,-0.83,4165320000
2022-11-21,7991,neutral,0.86490184,-0.39,3850690000
2022-11-28,2254,neutral,0.72836584,-1.54,3615430000
2022-11-30,659,neutral,0.7705231,3.09,6579360000
2022-12-05,13226,neutral,0.70529324,-1.79,4280820000
2022-12-12,737,neutral,0.73362637,1.43,3904130000
2022-12-15,468,neutral,0.9096081,-2.49,4493900000
2022-12-16,413,neutral,0.7661315,-1.11,7493660000
2022-12-19,1337,neutral,0.6057932,-0.9,3969610000
2022-12-22,1722,neutral,0.9031486,-1.45,3956950000
