date,reply count,sentiment type,sentiment score,change_percent,volume
2018-09-20,113,negative,0.69343674,-0.23,7349420
2018-10-02,92,negative,0.68345594,-3.12,11743509
2018-10-05,898,negative,0.91004694,-7.05,17944536
2018-10-09,118,negative,0.71069115,4.89,12060569
2018-10-11,852,negative,0.8525892,-1.81,8167737
2018-10-12,51,negative,0.61230576,2.6,7201403
2018-10-19,165,negative,0.5394955,-1.48,9375548
2018-10-22,331,negative,0.6250665,0.37,5600259
2018-10-23,2685,negative,0.663738,12.72,19027751
2018-10-25,40370,negative,0.74553275,9.14,20840720
2018-10-26,69,negative,0.8082116,5.09,27425518
2018-10-29,137,negative,0.9298888,1.19,14486030
2018-11-05,666,negative,0.94717515,-1.45,7831047
2018-11-07,4187,negative,0.68228304,2.08,7374521
2018-11-12,2166,negative,0.9436881,-5.49,6941522
2018-11-15,2791,negative,0.87718076,1.29,4625717
2018-11-16,1166,negative,0.51405174,1.68,7206190
2018-11-19,764,negative,0.83175075,-0.24,9708870
2018-11-20,34,negative,0.5864606,-1.69,8004708
2018-11-26,1363,negative,0.539746,6.19,7992140
2018-11-29,124,negative,0.5575476,-1.93,3080723
2018-11-30,1169,negative,0.87801325,2.73,5628894
2018-12-03,78,negative,0.661304,2.29,8306511
2018-12-10,83,negative,0.51378614,2.01,6613454
2018-12-11,1486,negative,0.7327204,0.44,6308768
2018-12-18,400,negative,0.61097986,-3.27,7099999
2018-12-19,68,negative,0.5098917,-1.2,8274180
2018-12-21,2813,negative,0.63323665,1.39,8016800
2018-12-24,159,negative,0.84115976,-7.62,5559912
2019-01-03,66,negative,0.8085254,-3.15,6965183
2019-01-04,2064,negative,0.5997642,5.77,7394115
2019-01-07,157,negative,0.6387822,5.44,7551224
2019-01-10,63,negative,0.7638168,1.9,6056353
2019-01-14,308,negative,0.53054935,-3.7,5247283
2019-01-17,212,negative,0.73420894,0.36,3676732
2019-01-22,914,negative,0.5611937,-1.11,12066739
2019-01-25,81,negative,0.8593881,1.9,7258077
2019-01-31,1789,negative,0.62856233,-0.57,12569249
2019-02-01,472,negative,0.8820701,1.69,7283440
2019-02-04,1808,negative,0.8112947,0.22,7352081
2019-02-07,83,negative,0.5897823,-3.06,6520610
2019-02-13,46,negative,0.47071955,-1.17,5141616
2019-02-14,43,negative,0.6482521,-1.43,5200831
2019-02-21,58,negative,0.86392766,-3.75,8909181
2019-02-22,68,negative,0.6947524,1.19,5740557
2019-02-26,326,negative,0.8760116,-0.3,8582535
2019-02-27,1963,negative,0.7937516,5.67,11183909
2019-02-28,2210,negative,0.8399616,1.63,10520649
2019-03-04,126,negative,0.64281183,-3.2,17096819
2019-03-05,274,negative,0.674083,-3.09,18764739
2019-03-11,111,negative,0.5709319,2.39,7392276
2019-03-12,141,negative,0.71346426,-2.6,7504136
2019-03-14,41,negative,0.5566862,0.35,7103446
2019-03-15,443,negative,0.7941083,-5.01,14785529
2019-03-18,253,negative,0.8250508,-2.16,10280979
2019-03-21,121,negative,0.66975504,0.15,5947097
2019-03-25,143,negative,0.64383674,-1.55,10215029
2019-03-26,289,negative,0.71162236,2.82,7350947
2019-04-01,812,negative,0.9437466,3.33,8110438
2019-04-02,106,negative,0.581517,-1.14,5478939
2019-04-04,851,negative,0.89578253,-8.23,23720730
2019-04-05,78,negative,0.7297655,2.68,13038259
2019-04-11,691,negative,0.53771126,-2.77,9835926
2019-04-15,1667,negative,0.9129084,-0.49,10038579
2019-04-16,75,negative,0.6742,2.62,7272929
2019-04-18,74,negative,0.6513194,0.75,5876324
2019-04-22,504,negative,0.94918466,-3.85,12147139
2019-04-23,96,negative,0.8234501,0.44,10943859
2019-04-24,1079,negative,0.80399215,-1.99,10727449
2019-04-26,593,negative,0.75234216,-5.04,22360712
2019-04-29,86,negative,0.9177432,2.69,16714479
2019-04-30,836,negative,0.8153457,-1.15,9464627
2019-05-03,530,negative,0.56762576,4.48,23706769
2019-05-08,229,negative,0.6088563,-0.9,6176439
2019-05-09,155,negative,0.7149269,-1.17,6711380
2019-05-10,143,negative,0.59533715,-1.02,7008335
2019-05-13,295,negative,0.8080143,-5.22,10834799
2019-05-16,199,negative,0.5181625,-1.56,7483272
2019-05-17,1634,negative,0.92673075,-7.58,17786671
2019-05-20,105,negative,0.5471113,-2.69,20526198
2019-05-23,94,negative,0.74364674,1.43,26547139
2019-05-24,24,negative,0.7055971,-2.49,14136569
2019-05-30,417,negative,0.61278546,-0.86,7926475
2019-05-31,72,negative,0.6325297,-1.63,10406729
2019-06-12,347,negative,0.5526873,-3.61,15197539
2019-06-13,77,negative,0.6040097,2.22,8168259
2019-06-17,351,negative,0.92360246,4.7,12316799
2019-06-19,302,negative,0.76016414,0.75,6575134
2019-06-21,98,negative,0.5589234,1.02,8202076
2019-06-24,514,negative,0.89090806,0.8,5750770
2019-06-26,79,negative,0.72562045,-0.22,8507207
2019-06-27,18,negative,0.7088816,1.63,6339709
2019-06-28,203,negative,0.9448944,0.28,6851383
2019-07-08,55,negative,0.7952786,-1.18,5880541
2019-07-09,54,negative,0.9059555,-0.12,6190834
2019-07-15,79,negative,0.73317564,3.44,11000089
2019-07-16,897,negative,0.74488115,-0.44,8148988
2019-07-17,91,negative,0.6029916,0.98,9764726
2019-07-19,34,negative,0.6350395,1.83,7048409
2019-07-22,60,negative,0.7676672,-0.97,6846272
2019-07-25,61,negative,0.61371225,-13.61,22418247
2019-07-29,34,negative,0.57052785,3.39,9273331
2019-08-01,718,negative,0.62519956,-3.21,8259515
2019-08-05,238,negative,0.73142064,-2.57,7028278
2019-08-09,1526,negative,0.74907345,-1.38,3898243
2019-08-14,1763,negative,0.5322397,-6.55,9562591
2019-08-15,37,negative,0.72522247,-1.81,8231951
2019-08-16,109,negative,0.882689,1.99,5207375
2019-08-19,4623,negative,0.9708823,3.13,5311747
2019-08-26,355,negative,0.692404,1.7,5054413
2019-08-27,67,negative,0.8722831,-0.43,5420726
2019-08-30,88,negative,0.72043324,1.76,9327775
2019-09-05,3002,negative,0.77433926,4.03,7403321
2019-09-06,283,negative,0.85836846,-0.93,4189371
2019-09-09,4171,negative,0.6053404,1.91,4802668
2019-09-12,1834,negative,0.5989274,-0.5,8581209
2019-09-13,74,negative,0.79580396,-0.27,5313144
2019-09-16,331,negative,0.63337785,-0.98,4728095
2019-09-18,1588,negative,0.7767634,-0.53,4228102
2019-09-24,2067,negative,0.850915,-7.47,12941109
2019-09-26,660,negative,0.6898219,6.06,12078789
2019-09-27,251,negative,0.7740423,-0.18,11123179
2019-10-01,178,negative,0.8266988,1.59,6196289
2019-10-04,102,negative,0.6203381,-0.69,8021179
2019-10-07,1090,negative,0.500106,2.72,8086956
2019-10-08,315,negative,0.8476094,0.98,8702337
2019-10-09,3355,negative,0.7835128,1.87,6935032
2019-10-10,346,negative,0.9725906,0.09,6313416
2019-10-14,223,negative,0.8930765,3.66,10226859
2019-10-15,57,negative,0.5128153,0.36,6479455
2019-10-16,232,negative,0.5179792,0.72,6704302
2019-10-17,153,negative,0.69033396,0.85,4779042
2019-10-25,135,negative,0.65789074,9.49,30006086
2019-10-28,1062,negative,0.94200873,-0.13,18870288
2019-10-29,56,negative,0.8474675,-3.51,12684269
2019-10-30,65,negative,0.54776263,-0.38,9641809
2019-11-01,270,negative,0.5832736,-0.51,6383928
2019-11-06,188,negative,0.53316736,2.95,7940931
2019-11-08,193,negative,0.7913032,0.48,6074220
2019-11-11,138,negative,0.91997516,2.36,9993688
2019-11-15,216,negative,0.91906226,0.81,4812562
2019-11-18,168,negative,0.8631052,-0.62,4408504
2019-11-20,313,negative,0.84922636,-2.03,6733964
2019-11-22,12267,negative,0.6983858,-6.14,16870640
2019-11-25,2741,negative,0.62385243,0.99,12345769
2019-12-02,3001,negative,0.8735391,1.49,6081985
2019-12-10,162,negative,0.5539727,2.74,8839951
2019-12-11,88,negative,0.58027065,1.11,6919161
2019-12-12,9515,negative,0.96734434,1.98,7776210
2019-12-17,575,negative,0.49314985,-0.66,8503775
2019-12-19,1745,negative,0.9017543,2.77,18120310
2019-12-23,2403,negative,0.7401568,3.36,13332819
2019-12-27,106,negative,0.7627356,-0.13,9956826
2019-12-30,3324,negative,0.9394956,-3.64,12601269
2019-12-31,130,negative,0.7346368,0.88,10292459
2020-01-10,2570,negative,0.88376254,-0.66,12976829
2020-01-13,1728,negative,0.8126441,9.77,26634549
2020-01-17,261,negative,0.9094731,-0.58,13629070
2020-01-22,175,negative,0.8280786,4.09,31369029
2020-01-29,110,negative,0.91857755,2.49,18216671
2020-01-31,418,negative,0.6640055,1.52,15719270
2020-02-03,208,negative,0.96440786,19.89,47233497
2020-02-06,2057,negative,0.73815006,1.94,39880752
2020-02-07,92,negative,0.66747963,-0.12,17063519
2020-02-10,1229,negative,0.8847392,3.1,24689158
2020-02-13,129,negative,0.7138714,4.78,26289350
2020-02-18,594,negative,0.87335503,7.3,16698368
2020-02-21,3450,negative,0.8823567,0.18,14339449
2020-02-26,488,negative,0.5740025,-2.64,14153839
2020-03-09,40749,negative,0.9256429,-13.57,17073739
2020-03-10,3849,negative,0.91729134,6.14,15594439
2020-03-11,1116,negative,0.9545107,-1.72,13413589
2020-03-12,209,negative,0.88998735,-11.62,18909050
2020-03-16,9311,negative,0.87647307,-18.58,20489460
2020-03-17,1373,negative,0.9006974,-3.34,23994578
2020-03-18,1940,negative,0.73081577,-16.03,23786158
2020-03-19,1018,negative,0.8478064,18.39,30195459
2020-03-20,1325,negative,0.87036604,-0.03,28285500
2020-03-23,415,negative,0.7701972,1.58,16454550
2020-03-24,412,negative,0.94262654,16.28,22895167
2020-03-25,70,negative,0.8162346,6.78,21222751
2020-03-27,438,negative,0.91828495,-2.61,14377409
2020-03-30,525,negative,0.820969,-2.38,11998069
2020-04-02,105,negative,0.53144205,-5.63,19858431
2020-04-03,216,negative,0.71923894,5.62,22562079
2020-04-06,67,negative,0.67958784,7.55,14901839
2020-04-07,25,negative,0.74844974,5.66,17919778
2020-04-09,150,negative,0.7776885,4.4,13649999
2020-04-13,2542,negative,0.7833988,13.6,22475419
2020-04-16,4553,negative,0.8476897,2.11,20657858
2020-04-17,253,negative,0.8859712,1.16,13128229
2020-04-20,174,negative,0.67945623,-1.0,14746369
2020-04-22,180,negative,0.9030989,6.61,14224830
2020-04-23,74,negative,0.65557957,-3.62,13236699
2020-04-27,227,negative,0.69586134,10.15,20681438
2020-04-28,2310,negative,0.9195204,-3.71,15221959
2020-04-30,8916,negative,0.87407297,-2.33,28471846
2020-05-01,11717,negative,0.8754691,-10.3,32531807
2020-05-04,945,negative,0.8450934,8.54,19237087
2020-05-05,169,negative,0.9267914,0.92,16991659
2020-05-06,367,negative,0.9446586,1.87,11123228
2020-05-07,218,negative,0.9494479,-0.32,11527689
2020-05-08,62,negative,0.51516324,5.05,16130089
2020-05-11,2922,negative,0.8823635,-0.99,16519599
2020-05-12,28612,negative,0.96097875,-0.23,15906910
2020-05-13,129,negative,0.8443068,-2.28,19065489
2020-05-14,665,negative,0.9528588,1.56,13682190
2020-05-15,1715,negative,0.8890698,-0.52,10518428
